cycle_time,spt_policy,fifo_policy,shortest_queue_policy,longest_queue_policy,postpone
7.350300967934827,138,204,485,173,1
6.416513997678398,170,183,471,176,2
5.283767658045157,158,203,459,180,2
4.926865549955356,150,172,509,169,3
7.396957951937242,164,164,507,165,5
6.936430941840364,129,194,508,169,0
6.108542017079181,171,189,488,152,4
5.356351873362365,164,179,480,177,2
7.590500097211724,165,187,490,158,5
6.921804540032083,165,158,500,177,5
6.736302938077858,124,199,513,164,5
9.107380763970669,152,180,494,174,4
7.418548135507675,149,201,477,173,3
7.51999769977007,160,200,464,176,1
7.234495878054894,162,189,486,163,7
6.530387490223842,158,171,510,161,4
6.148261892715979,165,181,465,189,4
6.247717482963307,156,207,467,170,2
4.752104880772686,159,183,491,167,6
7.0549687431634975,169,185,464,182,9
5.354729210784502,148,180,502,170,3
8.96374631241446,139,179,509,173,10
6.187642624869971,165,174,516,145,4
5.444478876214439,155,164,525,156,4
7.124473604723114,167,172,493,168,2
6.231884756291368,154,189,490,167,3
9.800248887565852,154,184,491,171,1
6.819739328573202,156,187,507,150,4
10.641392316349428,150,174,515,161,3
5.937835948175363,152,191,488,169,3
12.83783213861242,158,199,481,162,4
5.412533463589516,164,181,487,168,1
9.122105173170802,155,201,481,163,3
8.70928877626236,161,179,494,166,4
7.52625794136768,162,192,461,185,4
8.060588657721853,157,184,487,172,2
7.01197074978037,167,176,479,178,3
7.106980039321168,147,201,492,160,5
5.590770516106385,132,177,516,175,2
6.78251012826102,142,187,495,176,4
5.843587369143281,166,171,493,170,3
6.827147536710637,149,200,483,168,5
5.653291360066891,168,198,446,188,4
7.0242659078219996,155,200,482,163,3
5.6809003894045125,150,193,486,171,4
5.439214293219844,133,181,504,182,2
5.224022366268076,153,197,463,187,4
6.396984971266558,145,198,488,169,5
6.220545281711511,151,176,503,170,3
7.092358570996005,157,173,495,175,2
11.705898127180012,147,184,493,176,3
6.634908493166129,152,189,505,154,7
6.297178642141601,160,215,478,147,2
5.8154249665672655,154,218,468,160,1
6.351909942228183,165,178,521,136,2
5.271420152661845,160,180,488,172,4
8.89754466398739,169,189,471,171,7
5.679235071955338,167,182,495,156,4
6.648305239447578,140,194,480,186,3
7.037045783197831,138,173,501,188,5
9.267377979905538,161,200,472,167,3
10.666841600318826,151,164,507,178,5
6.754706173844562,154,162,513,171,0
5.892482611168544,138,203,504,155,3
6.57111334099304,159,179,496,166,3
6.37012818156969,160,181,500,159,5
7.564365799438999,150,192,489,169,3
5.626374248432528,144,198,482,176,6
6.575718957799884,131,195,505,169,4
6.967482239280143,155,167,505,173,3
7.631928917573113,151,183,492,174,6
9.194044580263924,159,172,486,183,4
9.022654706953382,153,186,486,175,3
9.761056266200004,143,200,489,168,1
6.1803606857373845,159,184,468,189,4
7.8618300907904555,143,176,480,201,6
5.655465693023187,140,198,488,174,3
5.476623525940334,141,193,486,180,2
5.968391755961331,152,199,488,161,1
6.588383009805455,158,189,454,199,5
5.7771393185283,154,226,442,178,6
6.658863596792635,145,193,490,172,3
6.662174543233526,147,197,485,171,2
6.835846638418801,138,200,498,164,8
7.950082130008438,154,178,490,178,4
8.666652685909357,151,195,495,159,3
6.031669325956495,174,159,506,161,5
5.19393857103867,159,192,475,174,4
7.039644426395175,171,198,475,156,2
6.519961591839043,142,194,473,191,2
5.801643958703753,137,176,492,195,5
7.400994187130552,144,191,505,160,6
7.862844670994852,160,176,466,198,2
8.389550948977753,165,193,477,165,3
6.573768401518326,172,179,480,169,2
7.57923305983746,138,195,514,153,3
6.137539016658582,144,206,490,160,3
8.1331732931551,147,210,494,149,0
5.13835897582765,144,173,505,178,3
8.22983204151455,160,171,472,197,2
6.125962568684056,166,202,465,167,2
9.103851302882045,153,202,487,158,4
7.780601796923373,148,187,499,166,2
7.18947125531125,145,192,472,191,4
5.502871765648247,162,186,483,169,4
5.631471814053895,148,188,485,179,2
6.167343580484283,146,184,485,185,3
7.491048940333505,144,179,504,173,3
6.959707637262934,146,214,478,162,5
5.882492191939291,173,196,452,179,2
