cycle_time,spt_policy,fifo_policy,random_policy
8.003692865733537,0,5000,0
8.918129917471317,0,5000,0
9.7293119885091,0,5000,0
11.796094854089977,0,5000,0
8.584883170865272,0,5000,0
10.737855086780941,0,5000,0
9.8996270930458,0,5000,0
8.752331791700751,0,5000,0
9.324796488968488,0,5000,0
9.795721068110439,0,5000,0
10.581591587345272,0,5000,0
9.938030318280497,0,5000,0
8.573109393068497,0,5000,0
10.105050450675083,0,5000,0
12.447447118939575,0,5000,0
8.75650857675178,0,5000,0
11.064839708127005,0,5000,0
8.901074959891524,0,5000,0
11.532207368894436,0,5000,0
11.925083577688195,0,5000,0
8.989162126050086,0,5000,0
10.77701011297283,0,5000,0
12.691466353383236,0,5000,0
10.036800121553949,0,5000,0
8.889858261352938,0,5000,0
8.129371114563458,0,5000,0
12.084709860265557,0,5000,0
9.108786108475638,0,5000,0
12.732586395984816,0,5000,0
9.356717122847595,0,5000,0
7.865810531938451,0,5000,0
8.37168727523461,0,5000,0
8.635104676114333,0,5000,0
8.59830594906333,0,5000,0
9.899460756651935,0,5000,0
13.948905140199704,0,5000,0
12.186816803766382,0,5000,0
10.639738882625416,0,5000,0
11.507172482291839,0,5000,0
12.304635643610487,0,5000,0
11.575745759634897,0,5000,0
8.984832441714328,0,5000,0
11.080347624262952,0,5000,0
15.065662169922417,0,5000,0
8.197492624283388,0,5000,0
12.028746376215423,0,5000,0
7.656675764118995,0,5000,0
7.760646180797773,0,5000,0
8.99476043982227,0,5000,0
8.123570154324145,0,5000,0
10.890126411623987,0,5000,0
13.385505455888193,0,5000,0
8.542676440268453,0,5000,0
9.06767642807505,0,5000,0
13.53523807915727,0,5000,0
10.117898562437519,0,5000,0
11.793773903022153,0,5000,0
9.006387490111923,0,5000,0
10.549003800291324,0,5000,0
10.206106054148174,0,5000,0
8.602480365003933,0,5000,0
8.96827144111897,0,5000,0
11.092792188997677,0,5000,0
11.85855001430443,0,5000,0
9.385041915524136,0,5000,0
8.98212180845804,0,5000,0
9.07585120608384,0,5000,0
8.815803138381401,0,5000,0
9.639336608581251,0,5000,0
11.032665333636306,0,5000,0
10.8690378649619,0,5000,0
7.752673140768444,0,5000,0
12.401842891984957,0,5000,0
8.358883802877743,0,5000,0
9.496132058288092,0,5000,0
12.04648950035581,0,5000,0
8.236159649867357,0,5000,0
7.5806836659813595,0,5000,0
12.138509399012435,0,5000,0
9.108527469824272,0,5000,0
10.04494744862557,0,5000,0
8.299938406321106,0,5000,0
9.049816830552267,0,5000,0
9.27651556722485,0,5000,0
8.469163390168251,0,5000,0
8.065704351319274,0,5000,0
8.284065543535315,0,5000,0
7.945001247730711,0,5000,0
9.206406346737078,0,5000,0
9.750870344559873,0,5000,0
7.454264805972334,0,5000,0
8.557297241787584,0,5000,0
8.296989356974327,0,5000,0
9.182114033637472,0,5000,0
11.24246154653158,0,5000,0
8.635359672442494,0,5000,0
9.935407281866915,0,5000,0
10.136847511212652,0,5000,0
8.404383574153767,0,5000,0
8.344008245717406,0,5000,0
9.733886596531123,0,5000,0
8.87015094387088,0,5000,0
8.600829710107877,0,5000,0
7.4440887873231025,0,5000,0
8.658508329053378,0,5000,0
9.220707651363199,0,5000,0
9.243166408564397,0,5000,0
8.265668663262439,0,5000,0
8.048354380676894,0,5000,0
