cycle_time,spt_policy,fifo_policy,hrrn_policy,longest_queue_policy,shortest_queue_policy,least_flexible_resource_policy,most_flexible_resource_policy,least_flexible_activity_policy,most_flexible_activity_policy
9.105217396355103,0,0,0,0,0,0,0,0,0
4.878027340321231,0,0,0,0,0,0,0,0,0
9.787689154342974,0,0,0,0,0,0,0,0,0
6.643367309456941,0,0,0,0,0,0,0,0,0
5.8212719170082865,0,0,0,0,0,0,0,0,0
10.45909578857884,0,0,0,0,0,0,0,0,0
7.97606684675922,0,0,0,0,0,0,0,0,0
7.05134730187291,0,0,0,0,0,0,0,0,0
6.837492782843017,0,0,0,0,0,0,0,0,0
20.793213124351883,0,0,0,0,0,0,0,0,0
11.482893300536787,0,0,0,0,0,0,0,0,0
9.137230443193188,0,0,0,0,0,0,0,0,0
12.922638510122752,0,0,0,0,0,0,0,0,0
10.626532449949051,0,0,0,0,0,0,0,0,0
4.474055202996531,0,0,0,0,0,0,0,0,0
6.2638382322566315,0,0,0,0,0,0,0,0,0
6.607402798530958,0,0,0,0,0,0,0,0,0
7.786997904499968,0,0,0,0,0,0,0,0,0
7.804277370552225,0,0,0,0,0,0,0,0,0
9.230775302355266,0,0,0,0,0,0,0,0,0
6.724714734399643,0,0,0,0,0,0,0,0,0
6.032124782530825,0,0,0,0,0,0,0,0,0
8.161006533308756,0,0,0,0,0,0,0,0,0
7.645852167786496,0,0,0,0,0,0,0,0,0
7.973305759781354,0,0,0,0,0,0,0,0,0
12.154615479523018,0,0,0,0,0,0,0,0,0
3.168038365547359,0,0,0,0,0,0,0,0,0
12.057643820904921,0,0,0,0,0,0,0,0,0
7.689262425838875,0,0,0,0,0,0,0,0,0
10.54643298842374,0,0,0,0,0,0,0,0,0
5.547293295067579,0,0,0,0,0,0,0,0,0
7.646840694751807,0,0,0,0,0,0,0,0,0
7.560470936273751,0,0,0,0,0,0,0,0,0
6.967373705180358,0,0,0,0,0,0,0,0,0
6.921664802243338,0,0,0,0,0,0,0,0,0
6.757522670795709,0,0,0,0,0,0,0,0,0
11.488107360035432,0,0,0,0,0,0,0,0,0
6.263788607161166,0,0,0,0,0,0,0,0,0
5.610801498877217,0,0,0,0,0,0,0,0,0
7.322751189039406,0,0,0,0,0,0,0,0,0
10.929529363161516,0,0,0,0,0,0,0,0,0
4.757678622132162,0,0,0,0,0,0,0,0,0
8.742277220249877,0,0,0,0,0,0,0,0,0
7.852114658104231,0,0,0,0,0,0,0,0,0
6.547488680783989,0,0,0,0,0,0,0,0,0
6.400633054439823,0,0,0,0,0,0,0,0,0
8.86942315168007,0,0,0,0,0,0,0,0,0
5.372565292184177,0,0,0,0,0,0,0,0,0
4.846519616807769,0,0,0,0,0,0,0,0,0
9.28591214699776,0,0,0,0,0,0,0,0,0
6.9688496882974675,0,0,0,0,0,0,0,0,0
4.610160549222247,0,0,0,0,0,0,0,0,0
9.320893750425512,0,0,0,0,0,0,0,0,0
9.250236374561092,0,0,0,0,0,0,0,0,0
9.086252851780651,0,0,0,0,0,0,0,0,0
9.706810426501823,0,0,0,0,0,0,0,0,0
8.553061548417926,0,0,0,0,0,0,0,0,0
6.573753465367069,0,0,0,0,0,0,0,0,0
13.312869145425024,0,0,0,0,0,0,0,0,0
5.966947176673706,0,0,0,0,0,0,0,0,0
6.835065003269371,0,0,0,0,0,0,0,0,0
7.649862012861564,0,0,0,0,0,0,0,0,0
6.1991744713577175,0,0,0,0,0,0,0,0,0
10.421735855046766,0,0,0,0,0,0,0,0,0
9.737171807215157,0,0,0,0,0,0,0,0,0
5.226442520668783,0,0,0,0,0,0,0,0,0
8.63161571066538,0,0,0,0,0,0,0,0,0
12.418326555011106,0,0,0,0,0,0,0,0,0
7.5285431714521795,0,0,0,0,0,0,0,0,0
5.2719880609594325,0,0,0,0,0,0,0,0,0
9.84337861414136,0,0,0,0,0,0,0,0,0
6.6552420067057945,0,0,0,0,0,0,0,0,0
5.894865229029149,0,0,0,0,0,0,0,0,0
7.235407479801873,0,0,0,0,0,0,0,0,0
9.04774795501795,0,0,0,0,0,0,0,0,0
9.884161008524794,0,0,0,0,0,0,0,0,0
4.038097754241189,0,0,0,0,0,0,0,0,0
7.835775640229862,0,0,0,0,0,0,0,0,0
9.051997636481145,0,0,0,0,0,0,0,0,0
5.48101458427972,0,0,0,0,0,0,0,0,0
5.222235851737141,0,0,0,0,0,0,0,0,0
7.953185051229318,0,0,0,0,0,0,0,0,0
8.66722079254603,0,0,0,0,0,0,0,0,0
12.292648887473101,0,0,0,0,0,0,0,0,0
6.518061624544785,0,0,0,0,0,0,0,0,0
13.920460176840171,0,0,0,0,0,0,0,0,0
13.964289355152752,0,0,0,0,0,0,0,0,0
10.165264781529617,0,0,0,0,0,0,0,0,0
6.866193416441018,0,0,0,0,0,0,0,0,0
16.560462513523806,0,0,0,0,0,0,0,0,0
8.920918385040906,0,0,0,0,0,0,0,0,0
8.239335656203817,0,0,0,0,0,0,0,0,0
9.540955942645084,0,0,0,0,0,0,0,0,0
9.90547026134614,0,0,0,0,0,0,0,0,0
6.934392212911743,0,0,0,0,0,0,0,0,0
8.438249646974455,0,0,0,0,0,0,0,0,0
2.9848431322523847,0,0,0,0,0,0,0,0,0
7.322231832364568,0,0,0,0,0,0,0,0,0
3.377587165817671,0,0,0,0,0,0,0,0,0
7.678174781255855,0,0,0,0,0,0,0,0,0
8.847726826812698,0,0,0,0,0,0,0,0,0
10.87246339137431,0,0,0,0,0,0,0,0,0
8.77607568361413,0,0,0,0,0,0,0,0,0
4.376504608040824,0,0,0,0,0,0,0,0,0
6.8488120019919805,0,0,0,0,0,0,0,0,0
6.817034846303068,0,0,0,0,0,0,0,0,0
6.333290452445367,0,0,0,0,0,0,0,0,0
8.515558573347962,0,0,0,0,0,0,0,0,0
4.866970179662614,0,0,0,0,0,0,0,0,0
3.3103014559463104,0,0,0,0,0,0,0,0,0
6.405175798677005,0,0,0,0,0,0,0,0,0
8.278469366013915,0,0,0,0,0,0,0,0,0
5.7905847350168775,0,0,0,0,0,0,0,0,0
16.010635753405637,0,0,0,0,0,0,0,0,0
7.84758671212283,0,0,0,0,0,0,0,0,0
17.603771750167237,0,0,0,0,0,0,0,0,0
5.055605790049444,0,0,0,0,0,0,0,0,0
7.7555570080902045,0,0,0,0,0,0,0,0,0
8.546284980450784,0,0,0,0,0,0,0,0,0
9.889403144149,0,0,0,0,0,0,0,0,0
8.013040250648901,0,0,0,0,0,0,0,0,0
7.62321865772555,0,0,0,0,0,0,0,0,0
7.415441357567594,0,0,0,0,0,0,0,0,0
6.364117219177047,0,0,0,0,0,0,0,0,0
6.205624419681538,0,0,0,0,0,0,0,0,0
9.383279245964786,0,0,0,0,0,0,0,0,0
4.869961862105612,0,0,0,0,0,0,0,0,0
8.195199569172306,0,0,0,0,0,0,0,0,0
7.957203146591847,0,0,0,0,0,0,0,0,0
5.737242004088738,0,0,0,0,0,0,0,0,0
7.829771910286479,0,0,0,0,0,0,0,0,0
7.80223537023668,0,0,0,0,0,0,0,0,0
4.806108519204591,0,0,0,0,0,0,0,0,0
8.324771531465208,0,0,0,0,0,0,0,0,0
5.612553454695869,0,0,0,0,0,0,0,0,0
10.795140270878296,0,0,0,0,0,0,0,0,0
3.716901877274303,0,0,0,0,0,0,0,0,0
10.191007357886546,0,0,0,0,0,0,0,0,0
5.98875106906411,0,0,0,0,0,0,0,0,0
6.4806124004106485,0,0,0,0,0,0,0,0,0
11.552823798594993,0,0,0,0,0,0,0,0,0
10.26314428845572,0,0,0,0,0,0,0,0,0
7.6591302107199635,0,0,0,0,0,0,0,0,0
8.42691913043783,0,0,0,0,0,0,0,0,0
7.08884345623339,0,0,0,0,0,0,0,0,0
6.2766841289352415,0,0,0,0,0,0,0,0,0
5.710710121259249,0,0,0,0,0,0,0,0,0
10.67367328237402,0,0,0,0,0,0,0,0,0
4.444470749410101,0,0,0,0,0,0,0,0,0
11.82185565211247,0,0,0,0,0,0,0,0,0
8.458733595892669,0,0,0,0,0,0,0,0,0
5.522071030650417,0,0,0,0,0,0,0,0,0
