cycle_time,spt_policy,fifo_policy,hrrn_policy,longest_queue_policy,shortest_queue_policy
7.012374168880827,5068,284,81,50,160
5.135996771007309,5257,42,41,41,255
6.708835697562945,5030,310,3,102,201
4.798616368533784,4899,148,24,197,284
8.709085553354202,4351,934,15,86,259
4.716267220708744,4517,630,28,101,284
11.817349941608716,5256,196,47,48,75
9.724262364913361,5308,34,36,14,234
4.510621290778492,4573,491,36,40,409
10.374458893874962,4946,95,4,58,425
8.656122794968876,5182,120,28,97,132
8.160975010080406,5299,48,2,63,213
4.074345155999985,5099,127,111,148,160
12.448367660906243,5258,158,13,25,205
8.033286588427645,5042,90,145,271,134
7.122021430300464,5150,198,9,111,126
10.28901639886165,4825,385,62,190,150
5.813716354666355,5050,102,39,21,320
9.433767457409735,4870,151,105,32,368
7.450537225034332,4969,183,44,59,269
6.313330840115779,4874,209,136,35,348
10.744321628123298,5160,43,13,64,285
10.578554150135897,5177,80,59,38,182
9.499513054415178,5018,140,48,114,238
7.4091165268873125,4720,493,124,79,249
4.863838985797914,4954,255,74,36,296
12.558579885551111,5347,170,13,0,128
6.8418190609061496,5090,61,96,37,216
6.422892250691395,4773,558,16,77,209
8.568135830372029,4674,233,34,142,493
7.8220978037722055,4929,86,165,190,197
15.855009790226223,5300,90,12,83,145
5.795300823855211,5007,245,12,106,241
11.842870025607054,4942,245,80,47,260
5.660276729765776,5085,50,29,110,366
9.32139038385515,5296,104,12,40,211
7.159100789350047,4991,340,43,49,198
8.228587180117799,4807,287,114,62,329
7.490432312650207,4472,642,49,182,247
5.18374790592163,4513,581,7,230,320
7.997282500501676,5055,298,41,34,159
11.658514426302853,5166,152,18,64,160
5.599747623592244,4908,260,90,55,245
4.5409897366534455,4528,376,64,245,290
10.43815559838817,5171,323,41,25,162
5.603696580463628,5003,188,23,83,294
9.842708841817265,4981,331,20,91,225
10.56168994408746,4939,218,31,137,267
6.412230931673993,5008,185,46,212,206
6.492247048963364,4861,366,129,59,260
6.216782037380808,5013,382,72,54,98
6.476649195861593,5162,19,84,114,202
6.636512036657843,5171,185,28,91,185
6.085770480705428,5092,168,3,70,197
4.576789207651146,4968,211,35,123,202
15.763202219645077,5135,256,25,50,130
8.455140918392907,5071,70,100,147,217
10.00843086008274,5272,139,71,67,133
8.713357544561642,4897,159,81,147,187
7.922321809563704,4933,130,187,43,271
7.801607772235556,5118,100,9,50,281
13.391627646429484,5015,204,10,79,273
10.950358169943256,5022,233,74,76,179
7.130292582034644,4980,206,9,39,359
11.143783948166854,4949,248,13,61,270
8.191762021900134,5335,34,9,64,138
8.879687524433034,5001,255,57,79,223
6.696373356833163,4856,278,12,62,305
9.292099180267925,5029,138,92,48,258
5.466288494032743,4654,382,28,66,427
4.395943744852858,4908,255,18,110,220
8.132549527750417,4730,576,14,49,284
10.867635437629474,4956,389,27,66,137
7.139139603561406,4870,168,38,141,358
6.7696040047950214,5139,172,18,115,175
6.837588844136251,5006,234,60,35,210
11.830829521883473,4996,129,61,102,321
4.786554286231003,4934,191,81,82,270
7.6795220147065875,5007,184,13,211,149
14.88390534234474,4985,323,10,87,283
6.291489816766323,4993,290,12,33,181
5.542710522653937,4594,286,71,107,541
12.132817479998202,5226,42,97,21,240
5.043390204932125,4460,443,143,145,245
7.599095681009173,4513,755,16,75,216
11.031821313870603,5145,131,17,23,213
4.509316732741634,4861,382,86,52,328
11.186864504213187,4532,385,96,22,497
9.502014419043377,5026,199,8,41,367
12.585854458289024,4891,101,66,49,428
8.551391750436734,5067,84,94,25,266
5.719822824786617,5076,219,55,67,192
11.794386031579297,5289,114,29,29,151
12.216726574087591,5258,60,17,16,205
8.246011929247123,5185,230,4,43,184
8.997944073821095,5177,232,29,74,112
13.904387398277422,5120,72,13,165,182
12.4365099121604,5253,108,21,62,163
7.904540762367498,5002,135,76,117,265
9.335080817863734,5048,175,8,95,269
4.130027885071901,4934,147,46,74,371
8.70520694740171,5077,66,39,126,141
4.0221073347231195,4802,92,4,76,575
4.911833802544125,4616,434,46,107,402
11.003424259140171,5148,156,8,39,205
5.3182579924012225,4872,183,49,46,478
7.160319302898359,4465,363,331,51,359
13.619718686978871,5069,93,15,59,431
4.149753404320613,4306,394,144,29,651
9.864157291625723,5077,177,10,82,260
7.7648730822628265,5165,59,57,29,240
8.538517600235897,4943,482,12,41,137
15.063395929759245,5142,312,13,72,112
4.7973831556572994,5025,116,6,123,356
8.564118564960344,4870,333,41,76,297
8.20161555056867,4985,294,15,30,236
4.99774015157991,4909,432,55,68,117
8.9067250813477,4960,214,39,128,165
5.491479601613738,4937,456,5,25,144
5.0491517236315016,5083,22,128,134,236
12.47553952852435,5156,272,23,16,150
6.219560861816023,5191,158,13,77,167
3.8366635325403107,4728,225,31,72,445
7.985208933983574,5175,184,1,87,52
8.94170488561736,4986,254,51,126,257
7.938344104482901,4857,331,146,23,198
5.8789564079136,4360,995,4,55,184
8.737953843345261,4984,267,152,54,133
12.449259302841469,5253,18,26,47,199
11.589125621839813,5239,68,67,24,181
13.310983167603563,5180,100,227,39,133
5.595102064345669,4996,118,38,58,348
6.812784947745407,4889,235,14,217,220
9.927570953908559,4933,276,18,29,346
6.840448240961694,4797,52,20,64,658
