cycle_time,spt_policy,fifo_policy,shortest_queue_policy,longest_queue_policy,postpone
7.594090558293562,0,1963,31,6,0
7.660636581054811,0,1985,12,3,0
9.742015693119647,0,1981,12,7,0
7.775028073194005,0,1971,23,6,0
12.530018020059446,1,1969,21,9,0
9.176875069972438,0,1982,14,4,0
10.156264328641411,0,1974,15,11,0
12.042174827396877,1,1974,20,5,0
6.698950759900421,0,1985,8,7,0
9.833414630234342,0,1980,15,5,0
16.270440347148764,1,1977,15,7,0
9.984875841336692,0,1971,23,6,0
7.046000795661383,1,1974,19,6,0
12.449758634589365,0,1975,19,6,0
10.378149816970081,0,1968,23,9,0
12.907880561436574,1,1981,12,6,0
11.41150422503346,0,1976,17,7,0
8.06163363979623,0,1973,21,6,0
8.585351777737822,1,1979,16,4,0
12.562399439096081,1,1971,24,4,0
7.52036514118469,1,1975,21,3,0
8.382226819288258,0,1978,17,5,0
11.333967454865594,0,1972,19,9,0
7.512076941149052,0,1963,24,13,0
12.395067675443771,0,1974,20,6,0
9.622520730366292,0,1976,21,3,0
9.898603281340716,0,1974,20,6,0
10.818294236937293,0,1972,24,4,0
9.86645730371782,2,1963,26,9,0
9.921790444549616,0,1970,24,6,0
14.827456565414774,0,1973,21,6,0
7.351138972933915,0,1977,17,6,0
11.742768195698398,0,1970,23,7,0
11.563424317159313,0,1975,19,6,0
10.07940461480641,0,1967,24,9,0
12.43233588634555,0,1978,17,5,0
10.894292132226974,1,1966,18,15,0
7.998299081879695,0,1978,19,3,0
10.766543126661979,1,1966,25,8,0
15.035059269006853,0,1975,17,8,0
8.47161694777419,0,1967,24,9,0
8.573748212228717,0,1976,21,3,0
7.146604222937304,0,1972,21,7,0
13.702209832942398,1,1968,26,5,0
10.181903221237434,1,1981,14,4,0
9.692631125966646,1,1977,19,3,0
7.1199066059149745,1,1966,26,7,0
14.40028849365106,0,1973,19,8,0
10.097293747290083,0,1974,19,7,0
7.856569489308935,0,1970,22,8,0
13.190902423485083,1,1982,16,1,0
10.032626767309825,0,1967,26,7,0
10.04235891038915,0,1978,18,4,0
5.831430053462806,0,1971,24,5,0
7.457242487509743,0,1978,19,3,0
11.057204307934866,1,1979,16,4,0
10.215832568546144,0,1973,18,9,0
8.392666957910595,0,1967,25,8,0
7.471042115917501,1,1977,14,8,0
13.994626101446277,0,1976,17,7,0
9.094302617806667,0,1969,24,7,0
11.198123220262728,0,1966,27,7,1
10.004153775808623,0,1977,21,2,0
11.918887840650948,1,1974,16,9,0
8.120898707312683,0,1967,25,8,0
7.516021385806467,0,1976,19,5,0
7.390206268895771,1,1975,18,6,0
8.074669335440142,0,1978,14,8,0
7.264923143303788,0,1981,12,7,1
11.079504245888646,1,1977,19,3,0
6.258170671891374,0,1972,19,9,0
12.507195231431298,1,1975,20,4,0
7.243082794031054,1,1971,23,5,0
10.539916056994999,0,1974,21,5,0
8.040926283777772,0,1963,31,6,0
7.198832888422371,0,1973,19,8,0
12.423699529277874,0,1971,19,10,0
7.858079698408729,1,1979,15,5,0
10.536926662690542,1,1966,25,8,0
10.32179507765473,2,1968,20,10,0
12.499407636950869,0,1967,25,8,0
12.361953914411979,2,1970,19,9,0
12.985163626517952,0,1976,19,5,0
12.172306507462338,1,1976,14,9,0
12.278799200517879,0,1977,18,5,0
6.702084556780252,0,1972,22,6,0
9.731606742193826,0,1968,25,7,0
9.888466989668412,2,1965,26,7,0
13.165015682564963,0,1980,15,5,0
8.852005942852573,3,1972,15,10,0
8.958009544328778,0,1967,27,6,0
10.49231321299726,0,1974,17,9,0
11.15607779037934,0,1962,26,12,0
10.280469666781618,0,1971,20,9,0
10.182475723088011,0,1976,19,5,0
8.89986708588263,1,1964,22,13,0
6.599479394620588,0,1984,11,5,0
9.880669282804874,0,1968,22,10,0
7.62483786520825,1,1965,23,11,0
9.668455427581666,0,1968,28,4,0
10.394982859957898,0,1964,27,9,0
8.993961018983049,0,1979,20,1,0
8.857558956810808,0,1968,24,8,0
12.202131952625196,0,1978,16,6,0
11.400435582856817,1,1969,24,6,0
10.385050060576958,2,1966,23,9,0
6.995242366568137,1,1963,26,10,0
9.461789200528177,1,1972,17,10,1
11.242267577094173,0,1966,28,6,0
8.383338837238888,0,1972,22,6,0
9.595126723642037,0,1973,23,4,0
8.920656147273625,0,1980,15,5,0
8.465491039134653,0,1974,15,11,0
7.855953514291273,0,1972,19,9,1
13.794678066244366,1,1970,17,12,0
7.425808633193942,0,1978,18,4,0
9.345114598031484,0,1972,20,8,0
8.016236094079908,0,1963,31,6,0
11.028365623726934,0,1972,22,6,0
9.755307315440342,0,1978,12,10,0
8.735917073196017,0,1980,15,5,1
13.487776551458886,1,1970,19,10,0
13.669467023377381,0,1979,17,4,0
9.457579571922956,0,1974,17,9,0
10.695618105569286,0,1981,13,6,0
8.715417771387994,0,1972,20,8,0
14.286272967692616,0,1973,20,7,0
9.780101234019442,1,1975,20,4,0
8.314013716590976,0,1975,20,5,0
7.28215087644233,2,1974,20,4,0
9.08428334571272,0,1976,19,5,0
7.872344894760693,1,1962,24,13,0
12.341514522207738,0,1982,14,4,0
6.515531318908628,1,1972,17,10,0
9.836168062818878,0,1975,20,5,0
11.519311687830697,0,1964,23,13,0
10.189751859187004,0,1978,12,10,0
6.499805449513095,1,1979,15,5,0
9.643620076763517,0,1980,15,5,0
8.719787656172306,0,1979,16,5,0
6.595237005659488,0,1977,20,3,0
7.506467782400106,1,1965,27,7,0
10.216164242363316,2,1975,19,4,0
10.1382085649166,0,1979,21,0,0
14.304438853796583,1,1977,16,6,0
