cycle_time,spt_policy,fifo_policy,random_policy
5.5668544920900125,0,2979,2021
5.842630148624805,0,2882,2118
4.964862440445577,0,2932,2068
5.427098498309699,0,2914,2086
5.888797077481988,0,2905,2095
5.781666060816223,0,2891,2109
5.47786440159227,0,2845,2155
5.551020611566954,0,2903,2097
5.727232613975442,0,2878,2122
6.028634716623763,0,2847,2153
5.524797852360999,0,2891,2109
5.791582099133568,0,2813,2187
5.257346102504457,0,2902,2098
5.84709171559767,0,2921,2079
5.932405089485018,0,2871,2129
5.430585427716498,0,2925,2075
5.021094713120941,0,2954,2046
4.814736730658972,0,2895,2105
5.331015639718685,0,2878,2122
6.026196978358629,0,2853,2147
6.028341325577409,0,2857,2143
6.32680945886933,0,2775,2225
6.12009464059816,0,2870,2130
6.918612764815014,0,2812,2188
4.93898228566713,0,2944,2056
5.901353156629333,0,2851,2149
6.159066930126172,0,2866,2134
5.331400440938761,0,2866,2134
5.553819017136647,0,2798,2202
5.527248349864402,0,2858,2142
7.456452106407912,0,2826,2174
5.824517988278944,0,2924,2076
5.0889291712507605,0,2863,2137
5.859494508605016,0,2802,2198
5.618496968570499,0,2783,2217
5.098573225921872,0,2905,2095
5.294999958223526,0,2914,2086
4.898835628831809,0,2975,2025
5.644987649377153,0,2879,2121
5.389628715134278,0,2824,2176
5.438913982175681,0,2867,2133
5.427260710967023,0,2842,2158
5.663664379795517,0,2857,2143
5.996052788092532,0,2877,2123
